city,state,date,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,source,region
Sedona,Arizona,2023-09-11,85.9,70.1,76.7,83.5,70.1,76.1,49.3,38.8,0.048,40,16.67,0,0,27.5,15,188.1,1011.3,62.3,10.1,167.3,14.4,6,10,2023-09-11T13:06:59Z,2023-09-12T01:39:54Z,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,fcst,West
Sedona,Arizona,2023-09-12,78,65,70.3,78,65,70.3,55.5,59.9,0.52,76,29.17,0,0,23,12.8,163.7,1014.2,66.6,10.1,143.2,12.4,4,10,2023-09-12T13:07:42Z,2023-09-13T01:38:28Z,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,fcst,West
New York,New York,2023-09-05,91.2,76.3,83.2,97.1,76.3,86.1,69.9,65.3,0,0,0,0,0,10.3,6.6,0.7,1012.8,32.4,9.8,233.5,20.5,8,30,2023-09-05T10:26:27Z,2023-09-05T23:21:51Z,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,East
New York,New York,2023-09-06,92.1,77.3,84.3,96.7,77.3,87,69.8,63.5,0.011,100,8.33,0,0,9.2,6.6,330.2,1010.5,23.1,9.7,248.3,21.7,8,60,2023-09-06T10:27:25Z,2023-09-06T23:20:12Z,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,obs,East
New York,New York,2023-09-07,92.5,77.7,84.1,98,77.7,87,69.2,61.9,0,0,0,0,0,23,11.1,204.2,1009.3,17.6,9.8,246,21.4,8,60,2023-09-07T10:28:23Z,2023-09-07T23:18:33Z,0.75,Clear,Clear conditions throughout the day.,clear-day,obs,East
New York,New York,2023-09-08,88.4,74.7,78.1,98,74.7,79.9,70,76.7,0.028,100,20.83,0,0,38,11.3,36.7,1013.6,55.4,8.7,134,11.7,8,75,2023-09-08T10:29:21Z,2023-09-08T23:16:54Z,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,obs,East
New York,New York,2023-09-09,84.6,74.6,77.7,91.2,74.6,79,72.3,83.7,0.004,100,8.33,0,0,19.7,7.8,38.9,1018.1,81.5,8.6,169.3,14.6,10,75,2023-09-09T10:30:20Z,2023-09-09T23:15:14Z,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs,East
New York,New York,2023-09-10,75.7,70,73.9,75.7,70,73.9,69.5,86.3,0.672,100,29.17,0,0,16.1,6.8,83.8,1019.1,65.2,9.1,77.2,6.7,3,30,2023-09-10T10:31:18Z,2023-09-10T23:13:34Z,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,comb,East
New York,New York,2023-09-11,79.1,72.1,75,79.1,72.1,75,70,84.8,0.694,53,45.83,0,0,11.4,8.1,166.2,1016.8,67.7,10,176.3,15,5,30,2023-09-11T10:32:16Z,2023-09-11T23:11:54Z,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,fcst,East
New York,New York,2023-09-12,81.1,71,75.3,83.8,71,75.5,68.5,80,0,32,0,0,0,13.9,9.2,164.3,1016.3,54.4,10,200.5,17.3,5,30,2023-09-12T10:33:14Z,2023-09-12T23:10:14Z,0.92,Partially cloudy,Partly cloudy throughout the day with storms possible.,partly-cloudy-day,fcst,East
Los Angeles,California,2023-09-05,71.5,65.4,68.1,71.5,65.4,68.1,61.1,78.6,0,0,0,0,0,11.4,8.8,232,1012.3,71.6,9.8,176.3,15.2,6,10,2023-09-05T13:29:55Z,2023-09-06T02:14:18Z,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,West
Los Angeles,California,2023-09-06,75.3,65.7,70.4,75.3,65.7,70.4,60,70.3,0,0,0,0,0,20.8,11.8,232.2,1013.7,50.6,9.9,230.7,19.9,9,10,2023-09-06T13:30:36Z,2023-09-07T02:12:56Z,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,West
